
14321241,-1505,-1162
14323325,-1505,-1162
14325408,-1505,-1162
14326971,-1505,-1162
14329054,-1505,-1162
14331137,-1505,-1162
14332700,-1505,-1162
14334783,-1505,-1162
14336866,-1505,-1162
14338430,-1505,-1162
14340512,-1505,-1162
14342596,-1505,-1162
14344159,-1505,-1162
14346242,-1505,-1162
14348324,-1505,-1162
14349888,-1505,-1162
14351971,-1505,-1162
14354054,-1505,-1162
14355617,-1505,-1162
14357700,-1505,-1162
14359783,-1505,-1162
14361346,-1505,-1162
14363429,-1505,-1162
14365512,-1505,-1162
14367075,-1505,-1162
14369158,-1505,-1162
14371241,-1505,-1162
14372805,-1505,-1162
14374887,-1505,-1162
14376970,-1505,-1162
14378534,-1505,-1162
14380617,-1505,-1162
14382699,-1505,-1162
14384263,-1505,-1162
14386346,-1505,-1162
14388429,-1505,-1162
14389992,-1505,-1162
14392074,-1505,-1162
14394158,-1505,-1162
14395721,-1505,-1162
14397804,-1505,-1162
14399887,-1505,-1162
14401450,-1505,-1162
14403534,-1505,-1162
